2024-05-09 19:20:37 install logsave:amd64 <none> 1.47.0-2
2024-05-09 19:20:37 status half-installed logsave:amd64 1.47.0-2
2024-05-09 19:20:39 status unpacked logsave:amd64 1.47.0-2
2024-05-09 19:20:41 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2024-05-09 19:20:41 status half-configured mawk:amd64 1.3.4.20200120-3.1
2024-05-09 19:20:42 status unpacked mawk:amd64 1.3.4.20200120-3.1
2024-05-09 19:20:42 status half-installed mawk:amd64 1.3.4.20200120-3.1
2024-05-09 19:20:43 status unpacked mawk:amd64 1.3.4.20200120-3.1
2024-05-09 19:20:43 install mount:amd64 <none> 2.38.1-5+b1
2024-05-09 19:20:43 status half-installed mount:amd64 2.38.1-5+b1
2024-05-09 19:20:43 status unpacked mount:amd64 2.38.1-5+b1
2024-05-09 19:20:44 install ncurses-base:all <none> 6.4-4
2024-05-09 19:20:44 status half-installed ncurses-base:all 6.4-4
2024-05-09 19:20:44 status unpacked ncurses-base:all 6.4-4
2024-05-09 19:20:44 install ncurses-bin:amd64 <none> 6.4-4
2024-05-09 19:20:44 status half-installed ncurses-bin:amd64 6.4-4
2024-05-09 19:20:45 status unpacked ncurses-bin:amd64 6.4-4
2024-05-09 19:20:45 install passwd:amd64 <none> 1:4.13+dfsg1-1+b1
2024-05-09 19:20:45 status half-installed passwd:amd64 1:4.13+dfsg1-1+b1
2024-05-09 19:20:46 status unpacked passwd:amd64 1:4.13+dfsg1-1+b1
2024-05-09 19:20:47 install perl:amd64 <none> 5.36.0-7+deb12u1
2024-05-09 19:20:47 status half-installed perl:amd64 5.36.0-7+deb12u1
2024-05-09 19:20:47 status unpacked perl:amd64 5.36.0-7+deb12u1
2024-05-09 19:20:47 upgrade perl-base:amd64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
2024-05-09 19:20:47 status half-configured perl-base:amd64 5.36.0-7+deb12u1
2024-05-09 19:20:47 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2024-05-09 19:20:48 status half-installed perl-base:amd64 5.36.0-7+deb12u1
2024-05-09 19:20:49 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2024-05-09 19:20:52 install perl-modules-5.36:all <none> 5.36.0-7+deb12u1
2024-05-09 19:20:52 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-05-09 19:20:56 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-05-09 19:20:58 install sed:amd64 <none> 4.9-1
2024-05-09 19:20:58 status half-installed sed:amd64 4.9-1
2024-05-09 19:20:59 status unpacked sed:amd64 4.9-1
2024-05-09 19:20:59 install sysvinit-utils:amd64 <none> 3.06-4
2024-05-09 19:20:59 status half-installed sysvinit-utils:amd64 3.06-4
2024-05-09 19:20:59 status unpacked sysvinit-utils:amd64 3.06-4
2024-05-09 19:20:59 install tar:amd64 <none> 1.34+dfsg-1.2+deb12u1
2024-05-09 19:20:59 status half-installed tar:amd64 1.34+dfsg-1.2+deb12u1
2024-05-09 19:21:00 status unpacked tar:amd64 1.34+dfsg-1.2+deb12u1
2024-05-09 19:21:01 install tzdata:all <none> 2024a-0+deb12u1
2024-05-09 19:21:01 status half-installed tzdata:all 2024a-0+deb12u1
2024-05-09 19:21:05 status unpacked tzdata:all 2024a-0+deb12u1
2024-05-09 19:21:06 install usrmerge:all <none> 37~deb12u1
2024-05-09 19:21:06 status half-installed usrmerge:all 37~deb12u1
2024-05-09 19:21:06 status unpacked usrmerge:all 37~deb12u1
2024-05-09 19:21:07 install util-linux:amd64 <none> 2.38.1-5+b1
2024-05-09 19:21:07 status half-installed util-linux:amd64 2.38.1-5+b1
2024-05-09 19:21:08 status unpacked util-linux:amd64 2.38.1-5+b1
2024-05-09 19:21:08 install util-linux-extra:amd64 <none> 2.38.1-5+b1
2024-05-09 19:21:08 status half-installed util-linux-extra:amd64 2.38.1-5+b1
2024-05-09 19:21:09 status unpacked util-linux-extra:amd64 2.38.1-5+b1
2024-05-09 19:21:09 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2024-05-09 19:21:09 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2024-05-09 19:21:10 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2024-05-09 19:21:11 startup packages configure
2024-05-09 19:21:11 configure libtext-glob-perl:all 0.11-3 <none>
2024-05-09 19:21:11 status unpacked libtext-glob-perl:all 0.11-3
2024-05-09 19:21:11 status half-configured libtext-glob-perl:all 0.11-3
2024-05-09 19:21:11 status installed libtext-glob-perl:all 0.11-3
2024-05-09 19:21:11 configure debian-archive-keyring:all 2023.3+deb12u1 <none>
2024-05-09 19:21:11 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2024-05-09 19:21:12 status half-configured debian-archive-keyring:all 2023.3+deb12u1
2024-05-09 19:21:12 status installed debian-archive-keyring:all 2023.3+deb12u1
2024-05-09 19:21:12 configure libaudit-common:all 1:3.0.9-1 <none>
2024-05-09 19:21:12 status unpacked libaudit-common:all 1:3.0.9-1
2024-05-09 19:21:12 status half-configured libaudit-common:all 1:3.0.9-1
2024-05-09 19:21:12 status installed libaudit-common:all 1:3.0.9-1
2024-05-09 19:21:13 configure libsemanage-common:all 3.4-1 <none>
2024-05-09 19:21:13 status unpacked libsemanage-common:all 3.4-1
2024-05-09 19:21:13 status half-configured libsemanage-common:all 3.4-1
2024-05-09 19:21:13 status installed libsemanage-common:all 3.4-1
2024-05-09 19:21:13 configure debconf:all 1.5.82 <none>
2024-05-09 19:21:13 status unpacked debconf:all 1.5.82
2024-05-09 19:21:14 status half-configured debconf:all 1.5.82
2024-05-09 19:21:16 status installed debconf:all 1.5.82
2024-05-09 19:21:16 configure libnumber-compare-perl:all 0.03-3 <none>
2024-05-09 19:21:16 status unpacked libnumber-compare-perl:all 0.03-3
2024-05-09 19:21:16 status half-configured libnumber-compare-perl:all 0.03-3
